order_id,customer_id,order_date,delivery_time_min,status,total_amount_xaf,city,quartier,courier_id,order_hour,order_day_of_week,total_amount_xaf_clean,ecart_montant,is_problematic,month
100000,CUST11954,2024-07-06 14:31:00,44.7,delivered,15444.0,Yaounde,Biyem-Assi,47,14,Friday,7594.0,7850.0,False,2024-07-01
100001,CUST11317,2024-04-20 18:56:00,53.9,delivered,16188.0,Yaounde,Messa,32,18,Saturday,227.0,15961.0,False,2024-04-01
100002,CUST17374,2024-10-07 17:37:00,260.7,late,11497.0,Douala,Bonabéri,32,17,Wednesday,10159.0,1338.0,True,2024-10-01
100003,CUST10224,2023-03-29 07:48:00,253.8,late,20301.0,Yaounde,Nlongkak,22,7,Wednesday,17776.0,2525.0,True,2023-03-01
100004,CUST11846,2024-12-29 08:35:00,66.5,delivered,15639.0,Yaounde,Bastos,30,8,Sunday,1318.0,14321.0,False,2024-12-01
100005,CUST17287,2024-02-14 19:41:00,287.3,late,59249.0,Douala,Village,43,19,Wednesday,7812.0,51437.0,True,2024-02-01
100006,CUST10909,2024-12-17 15:02:00,38.8,delivered,5920.0,Douala,Kotto,27,15,Tuesday,199974.0,-194054.0,False,2024-12-01
100007,CUST10387,2022-02-07 22:51:00,32.1,delivered,25000.0,Douala,Akwa,7,22,Saturday,51067.0,-26067.0,False,2022-02-01
100008,CUST17144,2024-12-28 11:37:00,10.8,cancelled,25000.0,Bafoussam,Tamdja,14,11,Saturday,13699.0,11301.0,True,2024-12-01
100009,CUST10572,2024-10-28 15:54:00,145.9,late,348663.0,Douala,Ngodi-Bakoko,22,15,Monday,5645.0,343018.0,True,2024-10-01
100010,CUST11495,2024-09-30 11:24:00,30.6,delivered,9990.0,Yaounde,Essos,4,11,Monday,3987.0,6003.0,False,2024-09-01
100011,CUST17173,2024-01-04 00:00:00,82.6,delivered,10639.0,Yaounde,Etoudi,6,19,Thursday,964.0,9675.0,False,2024-01-01
100012,CUST11473,2024-06-27 17:27:00,162.2,late,75000.0,Yaounde,Jouvence,5,17,Thursday,59284.0,15716.0,True,2024-06-01
100013,CUST10767,2024-12-06 17:10:00,225.1,late,8044.0,Yaounde,Messa,6,17,Friday,1494.0,6550.0,True,2024-12-01
100014,CUST11534,2024-12-19 00:07:00,55.8,delivered,9511.0,Yaounde,Mokolo,33,0,Thursday,2871.0,6640.0,False,2024-12-01
100015,CUST17282,2024-12-24 19:07:00,55.6,delivered,3804.0,Douala,Bonapriso,36,19,Tuesday,12101.0,-8297.0,False,2024-12-01
100016,CUST17163,2024-12-06 20:49:00,43.2,delivered,18000.0,Bafoussam,Bamougoum,12,20,Friday,14178.0,3822.0,False,2024-12-01
100017,CUST11386,2025-02-26 00:00:00,178.2,late,5099.0,Yaounde,Mendong,35,13,Wednesday,19322.0,-14223.0,True,2025-02-01
100018,CUST11683,2023-08-04 18:01:00,20.7,cancelled,7613.0,Douala,New-Bell,19,18,Friday,2680.0,4933.0,True,2023-08-01
100019,CUST11189,2024-05-10 00:00:00,39.4,delivered,11211.0,Yaounde,Mendong,42,9,Friday,12464.0,-1253.0,False,2024-05-01
100020,CUST17299,2024-12-21 12:15:00,31.3,delivered,45000.0,Douala,PK12,31,12,Saturday,1624.0,43376.0,False,2024-12-01
100021,CUST10311,2024-05-22 11:36:00,133.5,late,365248.0,Yaounde,Essos,16,11,Wednesday,71064.0,294184.0,True,2024-05-01
100022,CUST10792,2023-08-03 12:47:00,25.1,delivered,48072.0,Bafoussam,Fomekoua,7,12,Thursday,11250.0,36822.0,False,2023-08-01
